Player,Position,Games Played,Solo Tackles,Asst Tackles,Total Tackles,Tackles Per Game,Solo Sack,Asst Sack,Sack Yds,Total Sacks,Sacks Per Game,Forced Fumbles,Forced Fumbles Per Game,Fumbles Recovered,Passes Defended,Int,Int Ret Yds,Int Ret TDs,Yds Per Int
A.J.  Finley,DB,10,40,22,62,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,21.0,0.0,7.0
A.J. Brathwaite,DB,12,39,25,64,5.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
A.J. DeShazor,DB,12,32,29,61,5.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
A.J. DeShazor Jr.,LB,12,30,34,64,5.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A.J. Finley,DB,13,36,53,89,6.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,71.0,1.0,23.67
A.J. Finley,S,13,46,30,76,5.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A.J. Gray,DB,10,43,11,54,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A.J. Hampton,LB,13,59,28,87,6.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A.J. Haulcy,S,12,38,49,87,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A.J. Hotchkins,LB,12,53,73,126,10.5,6.0,2.0,49.0,7.0,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A.J. Howard,DB,13,41,25,66,5.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,71.0,1.0,23.67
A.J. Johnson,LB,22,118,89,207,9.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A.J. Krawczyk,WR,12,55,19,74,6.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
A.J. Newman,LB,12,39,62,101,8.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A.J. Smith,DB,11,55,35,90,8.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,39.0,0.0,13.0
A.J. Tarpley,LB,14,52,41,93,6.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A.J. Watts,DB,6,22,7,29,4.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,44.0,0.0,22.0
A.J. Westbrook,DB,12,37,28,65,5.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AJ Mistler,DB,14,51,58,109,7.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AJ Musolino,LB,14,48,44,92,6.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AJ Stanley,DB,11,52,19,71,6.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AJ Stanley,S,10,43,20,63,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AJ Thomas,DB,40,142,71,213,5.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AJ Vongphachanh,LB,19,63,88,151,7.95,3.0,0.0,19.0,3.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aaron Acosta,DL,11,27,47,74,6.73,7.0,3.0,59.0,8.5,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aaron Beasley,LB,26,73,87,160,6.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Aaron Breed,LB,23,105,84,189,8.22,7.0,2.0,54.0,8.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aaron Brown,LB,13,35,53,88,6.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aaron Brule,LB,11,31,46,77,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Aaron Casey,LB,11,50,36,86,7.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aaron Cook,LB,23,91,78,169,7.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aaron Davis,LB,27,125,113,238,8.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
