Player,Position,Games Played,Pass Att,Pass Comp,Pass Comp Percentage,Int,Pass TD,Pass Yds,Pass Yds Per Comp,Pass Yds Per Game,Rush,Rush Yds,Rush Yds Per Attempt,Rush TD,Rush Yds Per Game
A.J. Augustine,QB,11,158,93,58.86,7,9,1149,12.35,104.45,0.0,0.0,0.0,0.0,0.0
A.J. Doyle,QB,11,235,128,54.47,11,6,1274,9.95,115.82,0.0,0.0,0.0,0.0,0.0
A.J. McCarron,QB,13,336,226,67.26,7,28,3063,13.55,235.62,0.0,0.0,0.0,0.0,0.0
A.J. Schurr,QB,10,28,12,42.86,1,1,242,20.17,24.2,0.0,0.0,0.0,0.0,0.0
AJ Bush,QB,10,217,117,53.92,10,6,1413,12.08,141.3,138.0,733.0,5.31,8.0,73.3
AJ Erdely,QB,22,536,316,58.96,11,23,3870,12.25,175.91,0.0,0.0,0.0,0.0,0.0
AJ Swann,QB,9,198,115,58.08,2,10,1274,11.08,141.56,0.0,0.0,0.0,0.0,0.0
Aaron Allen,QB,9,192,120,62.5,7,7,1387,11.56,154.11,0.0,0.0,0.0,0.0,0.0
Aaron Bailey,QB,14,220,121,55.0,6,13,1656,13.69,118.29,381.0,1760.0,4.62,25.0,83.81
Aaron Cantu,QB,12,329,213,64.74,12,10,2052,9.63,171.0,0.0,0.0,0.0,0.0,0.0
Aaron Miller,QB,12,142,63,44.37,1,7,932,14.79,77.67,226.0,1080.0,4.78,13.0,90.0
Aaron Murray,QB,11,347,225,64.84,9,26,3075,13.67,279.55,0.0,0.0,0.0,0.0,0.0
Aaron Winchester,QB,13,271,175,64.58,5,20,2570,14.69,197.69,160.0,843.0,5.27,9.0,64.85
Aaron Zwahlen,QB,9,61,34,55.74,3,1,300,8.82,33.33,0.0,0.0,0.0,0.0,0.0
Adam Kennedy,QB,13,315,218,69.21,6,11,2363,10.84,181.77,153.0,524.0,3.42,4.0,40.31
Adam Riese,QB,21,198,124,62.63,8,12,1372,11.06,65.33,0.0,0.0,0.0,0.0,0.0
Addison Shoup,QB,11,27,18,66.67,2,2,239,13.28,21.73,0.0,0.0,0.0,0.0,0.0
Adeyemi DaSilva,WR,11,8,6,75.0,0,1,117,19.5,10.64,0.0,0.0,0.0,0.0,0.0
Adrian Kollock,QB,21,239,127,53.14,7,8,1552,12.22,73.9,0.0,0.0,0.0,0.0,0.0
Adrian Martinez,QB,49,1239,788,63.6,31,51,9752,12.38,199.02,619.0,2928.0,4.73,45.0,59.76
Aidan Gilman,QB,10,113,67,59.29,6,2,557,8.31,55.7,0.0,0.0,0.0,0.0,0.0
Aidan O'Connell,QB,33,1238,826,66.72,30,65,9219,11.16,279.36,0.0,0.0,0.0,0.0,0.0
Aidan Sayin,QB,10,391,253,64.71,7,18,2344,9.26,234.4,0.0,0.0,0.0,0.0,0.0
Akevious Williams,QB,30,535,302,56.45,18,24,3648,12.08,121.6,136.0,571.0,4.2,10.0,51.91
Al Cobb,QB,31,1134,703,61.99,35,43,7727,10.99,249.26,0.0,0.0,0.0,0.0,0.0
Alan Bowman,QB,16,559,377,67.44,14,27,4240,11.25,265.0,0.0,0.0,0.0,0.0,0.0
Aldon Clark,QB,9,52,23,44.23,2,1,195,8.48,21.67,0.0,0.0,0.0,0.0,0.0
Alejandro Bennifield,QB,25,339,218,64.31,7,28,2760,12.66,110.4,0.0,0.0,0.0,0.0,0.0
Alek Torgersen,QB,29,953,621,65.16,18,50,6916,11.14,238.48,116.0,396.0,3.41,8.0,39.6
Alex Hornibrook,QB,36,704,426,60.51,33,47,5438,12.77,151.06,0.0,0.0,0.0,0.0,0.0
Alex Jeske,QB,23,592,343,57.94,16,25,3988,11.63,173.39,120.0,676.0,5.63,14.0,61.45
Alex Kuresa,QB,23,483,268,55.49,18,29,4105,15.32,178.48,305.0,1613.0,5.29,17.0,70.13
Alex McGough,QB,46,1335,806,60.37,37,65,9091,11.28,197.63,0.0,0.0,0.0,0.0,0.0
Alex Piccirilli,QB,12,241,131,54.36,14,7,1306,9.97,108.83,56.0,171.0,3.05,3.0,42.75
Alex Ross,QB,40,1126,734,65.19,23,67,9491,12.93,237.28,273.0,1231.0,4.51,15.0,43.96
Alex Thomson,QB,22,498,274,55.02,11,24,3515,12.83,159.77,0.0,0.0,0.0,0.0,0.0
Alfonzo Graham,RB,9,1,1,100.0,0,0,68,68.0,7.56,250.0,1656.0,6.62,13.0,82.8
Allan Bridgford,QB,6,207,112,54.11,11,6,1133,10.12,188.83,0.0,0.0,0.0,0.0,0.0
Ammon Olsen,QB,24,870,532,61.15,19,47,6388,12.01,266.17,0.0,0.0,0.0,0.0,0.0
Anders Hill,QB,28,641,371,57.88,20,27,4283,11.54,152.96,0.0,0.0,0.0,0.0,0.0
Andre Nunez,QB,14,287,182,63.41,12,20,2272,12.48,162.29,0.0,0.0,0.0,0.0,0.0
Andrew Allen,QB,9,133,71,53.38,3,1,883,12.44,98.11,0.0,0.0,0.0,0.0,0.0
Andrew Allen,WR,7,214,115,53.74,8,16,1529,13.3,218.43,0.0,0.0,0.0,0.0,0.0
Andrew Body,QB,21,499,286,57.31,10,24,3817,13.35,181.76,226.0,1223.0,5.41,9.0,58.24
Andrew Bunch,QB,8,221,125,56.56,9,8,1370,10.96,171.25,56.0,159.0,2.84,2.0,19.88
Andrew Ford,QB,29,895,560,62.57,23,57,6955,12.42,239.83,0.0,0.0,0.0,0.0,0.0
Andrew Hendrix,QB,12,458,222,48.47,9,23,3280,14.77,273.33,0.0,0.0,0.0,0.0,0.0
Andrew Manley,QB,11,146,76,52.05,4,4,850,11.18,77.27,0.0,0.0,0.0,0.0,0.0
Andrew McDonald,QB,12,350,233,66.57,11,15,2502,10.74,208.5,0.0,0.0,0.0,0.0,0.0
Andrew McNulty,QB,10,202,110,54.46,7,6,1295,11.77,129.5,0.0,0.0,0.0,0.0,0.0
Andrew Peasley,QB,12,275,144,52.36,9,10,1574,10.93,131.17,0.0,0.0,0.0,0.0,0.0
Andy Rice,QB,31,1035,617,59.61,27,47,6726,10.9,216.97,0.0,0.0,0.0,0.0,0.0
Andy Summerlin,QB,13,478,300,62.76,13,26,3640,12.13,280.0,0.0,0.0,0.0,0.0,0.0
Andy Vailas,QB,23,371,234,63.07,9,19,2541,10.86,110.48,0.0,0.0,0.0,0.0,0.0
Angel Santiago,QB,12,70,35,50.0,1,1,488,13.94,40.67,363.0,1407.0,3.88,20.0,58.62
Anthony Boone,QB,24,775,461,59.48,21,32,4960,10.76,206.67,0.0,0.0,0.0,0.0,0.0
Anthony Brown,QB,42,1070,623,58.22,27,58,7727,12.4,183.98,151.0,658.0,4.36,9.0,47.0
Anthony Francis,QB,19,192,103,53.65,7,8,1168,11.34,61.47,0.0,0.0,0.0,0.0,0.0
Anthony Gordon,QB,13,689,493,71.55,16,48,5579,11.32,429.15,0.0,0.0,0.0,0.0,0.0
Anthony Jennings,QB,26,550,304,55.27,20,22,3789,12.46,145.73,0.0,0.0,0.0,0.0,0.0
Anthony Lawrence,QB,48,1465,961,65.6,24,120,12628,13.14,263.08,0.0,0.0,0.0,0.0,0.0
Anthony Maddie,WR,7,175,105,60.0,5,8,1213,11.55,173.29,82.0,558.0,6.8,7.0,79.71
Anthony Paoletti,QB,8,2,2,100.0,0,0,4,2.0,0.5,0.0,0.0,0.0,0.0,0.0
Anthony Richardson,QB,12,327,176,53.82,9,17,2549,14.48,212.42,103.0,654.0,6.35,9.0,54.5
Anthony Robbins,QB,8,167,96,57.49,9,10,1139,11.86,142.38,0.0,0.0,0.0,0.0,0.0
Anthony Russo,QB,30,899,536,59.62,32,44,6287,11.73,209.57,0.0,0.0,0.0,0.0,0.0
Anthony Thompson,QB,10,219,135,61.64,8,8,1326,9.82,132.6,0.0,0.0,0.0,0.0,0.0
Antoine Murray,WR,2,1,1,100.0,0,0,4,4.0,2.0,0.0,0.0,0.0,0.0,0.0
Antonio Bostick,QB,10,237,125,52.74,10,11,1397,11.18,139.7,0.0,0.0,0.0,0.0,0.0
Anu Solomon,QB,25,870,518,59.54,14,48,6460,12.47,258.4,0.0,0.0,0.0,0.0,0.0
Aqeel Glass,QB,47,1582,923,58.34,41,109,12136,13.15,258.21,0.0,0.0,0.0,0.0,0.0
Armani Rogers,QB,10,189,99,52.38,5,6,1471,14.86,147.1,331.0,1897.0,5.73,23.0,67.75
Arshon Spaulding,WR,10,132,62,46.97,6,1,526,8.48,52.6,97.0,555.0,5.72,4.0,55.5
Artur Sitkowski,QB,11,273,134,49.08,18,4,1158,8.64,105.27,0.0,0.0,0.0,0.0,0.0
Asher O'Hara,QB,46,877,571,65.11,19,50,6348,11.12,138.0,747.0,3263.0,4.37,44.0,70.93
Austin  Bradley ,QB,9,32,21,65.62,1,3,287,13.67,31.89,0.0,0.0,0.0,0.0,0.0
Austin Allen,QB,21,588,350,59.52,20,35,4857,13.88,231.29,0.0,0.0,0.0,0.0,0.0
Austin Appleby,QB,24,688,390,56.69,26,28,4156,10.66,173.17,0.0,0.0,0.0,0.0,0.0
Austin Aune,QB,35,891,484,54.32,28,55,7188,14.85,205.37,0.0,0.0,0.0,0.0,0.0
Austin Boucher,QB,8,184,89,48.37,8,7,1036,11.64,129.5,0.0,0.0,0.0,0.0,0.0
Austin Bray,QB,11,250,135,54.0,11,8,1490,11.04,135.45,0.0,0.0,0.0,0.0,0.0
Austin Brown,QB,33,630,326,51.75,21,31,4448,13.64,134.79,0.0,0.0,0.0,0.0,0.0
Austin Chipoletti,QB,12,302,172,56.95,9,8,1650,9.59,137.5,0.0,0.0,0.0,0.0,0.0
Austin Day,QB,18,449,277,61.69,15,21,3257,11.76,180.94,0.0,0.0,0.0,0.0,0.0
Austin Gahafer,QB,45,1844,1096,59.44,45,85,11918,10.87,264.84,0.0,0.0,0.0,0.0,0.0
Austin Grammer,QB,12,338,221,65.38,12,17,2557,11.57,213.08,0.0,0.0,0.0,0.0,0.0
Austin Green,QB,10,109,68,62.39,4,2,642,9.44,64.2,0.0,0.0,0.0,0.0,0.0
Austin Herink,QB,44,1048,615,58.68,27,33,6994,11.37,158.95,0.0,0.0,0.0,0.0,0.0
Austin Howard,QB,45,1200,703,58.58,27,80,9208,13.1,204.62,0.0,0.0,0.0,0.0,0.0
Austin Kendall,QB,16,548,335,61.13,19,25,3873,11.56,242.06,0.0,0.0,0.0,0.0,0.0
Austin Reed,QB,14,603,389,64.51,11,40,4746,12.2,339.0,0.0,0.0,0.0,0.0,0.0
Austin Scott,QB,11,47,23,48.94,3,1,243,10.57,22.09,0.0,0.0,0.0,0.0,0.0
Austin Simmons,QB,23,882,554,62.81,21,45,6077,10.97,264.22,154.0,588.0,3.82,6.0,49.0
Austin Sumner,QB,14,408,240,58.82,8,19,2999,12.5,214.21,0.0,0.0,0.0,0.0,0.0
Austin Tutas,QB,8,12,9,75.0,0,1,140,15.56,17.5,0.0,0.0,0.0,0.0,0.0
Austyn Carta-Samuels,QB,10,281,193,68.68,9,11,2268,11.75,226.8,0.0,0.0,0.0,0.0,0.0
Aveon Smith,QB,10,217,108,49.77,5,11,1299,12.03,129.9,123.0,553.0,4.5,6.0,55.3
Averion Hurts,QB,19,407,211,51.84,13,26,2854,13.53,150.21,0.0,0.0,0.0,0.0,0.0
B.J. Denker,QB,13,381,233,61.15,7,16,2516,10.8,193.54,181.0,949.0,5.24,13.0,73.0
B.J. Riley,RB,12,2,1,50.0,1,1,69,69.0,5.75,0.0,0.0,0.0,0.0,0.0
Bailey Fisher,QB,46,1357,816,60.13,33,69,9534,11.68,207.26,166.0,489.0,2.95,11.0,40.75
Bailey Hockman,QB,10,266,171,64.29,11,13,2088,12.21,208.8,0.0,0.0,0.0,0.0,0.0
Bailey Zappe,QB,51,2164,1375,63.54,50,140,15971,11.62,313.16,0.0,0.0,0.0,0.0,0.0
Baker Mayfield,QB,48,1497,1026,68.54,30,131,14607,14.24,304.31,0.0,0.0,0.0,0.0,0.0
Baniko Harley,QB,8,2,1,50.0,0,0,18,18.0,2.25,0.0,0.0,0.0,0.0,0.0
Bart Houston,QB,11,141,96,68.09,3,5,1245,12.97,113.18,0.0,0.0,0.0,0.0,0.0
Bear Fenimore,QB,21,617,343,55.59,13,36,4048,11.8,192.76,0.0,0.0,0.0,0.0,0.0
Beau English III,QB,3,6,6,100.0,0,0,36,6.0,12.0,0.0,0.0,0.0,0.0,0.0
Beau Kelly,WR,11,2,2,100.0,0,0,56,28.0,5.09,0.0,0.0,0.0,0.0,0.0
Beaux Hebert,QB,11,165,95,57.58,4,6,1090,11.47,99.09,0.0,0.0,0.0,0.0,0.0
Behren Morton,QB,9,169,96,56.8,6,7,1117,11.64,124.11,0.0,0.0,0.0,0.0,0.0
Ben Bryant,QB,24,756,492,65.08,14,35,5852,11.89,243.83,0.0,0.0,0.0,0.0,0.0
Ben Cheek,QB,18,216,115,53.24,10,6,1203,10.46,66.83,0.0,0.0,0.0,0.0,0.0
