Player,Position,Games Played,Receptions,Reception Yds,Reception Yds Per Attempt,Reception TD,Reception Yds Per Game,Rush,Rush Yds,Rush Yds Per Attempt,Rush TD,Rush Yds Per Game
A.C. Leonard,TE,12,34,441,12.97,5,36.75,0.0,0.0,0.0,0.0,0.0
A.J. Brown,WR,24,160,2572,16.08,17,107.17,0.0,0.0,0.0,0.0,0.0
A.J. Coney,WR,14,43,551,12.81,3,39.36,0.0,0.0,0.0,0.0,0.0
A.J. Johnson,WR,12,48,633,13.19,4,52.75,0.0,0.0,0.0,0.0,0.0
A.J. Richardson,WR,13,54,825,15.28,8,63.46,0.0,0.0,0.0,0.0,0.0
A.J. Toney,WR,7,41,437,10.66,1,62.43,0.0,0.0,0.0,0.0,0.0
A.T. Perry,WR,27,152,2389,15.72,26,88.48,0.0,0.0,0.0,0.0,0.0
Aaren Vaughns,WR,13,33,581,17.61,5,44.69,0.0,0.0,0.0,0.0,0.0
Aaron Alston,WR,19,69,943,13.67,4,49.63,0.0,0.0,0.0,0.0,0.0
Aaron Blockmon,WR,21,95,1614,16.99,13,76.86,0.0,0.0,0.0,0.0,0.0
Aaron Bradley,WR,10,40,474,11.85,2,47.4,0.0,0.0,0.0,0.0,0.0
Aaron Burbridge,WR,14,85,1258,14.8,7,89.86,0.0,0.0,0.0,0.0,0.0
Aaron Burks,WR,11,18,309,17.17,3,28.09,0.0,0.0,0.0,0.0,0.0
Aaron Cephus,WR,22,65,1187,18.26,10,53.95,0.0,0.0,0.0,0.0,0.0
Aaron Fuller,WR,27,117,1576,13.47,10,58.37,0.0,0.0,0.0,0.0,0.0
Aaron Gooch,WR,11,65,695,10.69,5,63.18,0.0,0.0,0.0,0.0,0.0
Aaron Moore,WR,11,39,523,13.41,5,47.55,0.0,0.0,0.0,0.0,0.0
Aaron Parker,WR,34,193,3002,15.55,26,88.29,0.0,0.0,0.0,0.0,0.0
Aaron Peck,WR,11,46,630,13.7,3,57.27,0.0,0.0,0.0,0.0,0.0
Aaron Sanders,WR,34,218,2540,11.65,9,74.71,0.0,0.0,0.0,0.0,0.0
Aaron Thomas,WR,24,92,1413,15.36,6,58.88,0.0,0.0,0.0,0.0,0.0
Abdul Janneh,WR,11,43,579,13.47,9,52.64,0.0,0.0,0.0,0.0,0.0
Abdul-Fatai Ibrahim,WR,25,150,2350,15.67,22,94.0,0.0,0.0,0.0,0.0,0.0
Adam Anderson,WR,13,47,718,15.28,7,55.23,0.0,0.0,0.0,0.0,0.0
Adam Breneman,TE,23,134,1572,11.73,12,68.35,0.0,0.0,0.0,0.0,0.0
Adam Drake,WR,26,178,2626,14.75,25,101.0,0.0,0.0,0.0,0.0,0.0
Adam Humphries,WR,13,41,483,11.78,2,37.15,0.0,0.0,0.0,0.0,0.0
Adam Shapiro,WR,12,35,431,12.31,2,35.92,0.0,0.0,0.0,0.0,0.0
Adam Trautman,TE,33,154,2057,13.36,28,62.33,0.0,0.0,0.0,0.0,0.0
Adonis Jennings,WR,13,42,742,17.67,7,57.08,0.0,0.0,0.0,0.0,0.0
