Player,Position,Games Played,Rush,Rush Yds,Rush Yds Per Attempt,Rush TD,Receptions,Reception Yds,Reception Yds Per Attempt,Reception TD
A.J. Carter,RB,4,31,156,5.03,2,0.0,0.0,0.0,0.0
A.J. Davis,RB,12,127,530,4.17,4,0.0,0.0,0.0,0.0
A.J. Hines,RB,41,881,4629,5.25,44,0.0,0.0,0.0,0.0
A.J. Ouellette,RB,39,556,2999,5.39,25,0.0,0.0,0.0,0.0
A.J. Turner,RB,13,98,531,5.42,3,0.0,0.0,0.0,0.0
A.J. Walker,RB,12,146,623,4.27,2,0.0,0.0,0.0,0.0
AJ Bush,QB,10,138,733,5.31,8,0.0,0.0,0.0,0.0
AJ Deinhart,RB,11,101,496,4.91,3,0.0,0.0,0.0,0.0
AJ Dillon,RB,36,845,4382,5.19,38,0.0,0.0,0.0,0.0
Aaron Bailey,QB,21,381,1760,4.62,25,0.0,0.0,0.0,0.0
Aaron Dawson,RB,34,442,2500,5.66,25,0.0,0.0,0.0,0.0
Aaron Duckworth,RB,25,337,1697,5.04,9,0.0,0.0,0.0,0.0
Aaron Dumas,RB,11,136,658,4.84,2,0.0,0.0,0.0,0.0
Aaron Dykes,RB,28,347,1506,4.34,13,0.0,0.0,0.0,0.0
Aaron Forbes,RB,35,404,2195,5.43,17,0.0,0.0,0.0,0.0
Aaron Green,RB,26,373,2194,5.88,20,0.0,0.0,0.0,0.0
Aaron Jones,RB,33,626,3905,6.24,32,0.0,0.0,0.0,0.0
Aaron Kemper,RB,11,101,544,5.39,3,0.0,0.0,0.0,0.0
Aaron Miller,QB,12,226,1080,4.78,13,0.0,0.0,0.0,0.0
Aaron Savage,RB,11,94,427,4.54,3,0.0,0.0,0.0,0.0
Aaron Shampklin,DB,10,173,1053,6.09,9,0.0,0.0,0.0,0.0
Aaron Shampklin,RB,9,150,842,5.61,11,0.0,0.0,0.0,0.0
Aaron Wimberly,RB,21,288,1209,4.2,9,0.0,0.0,0.0,0.0
Aaron Winchester,QB,13,160,843,5.27,9,0.0,0.0,0.0,0.0
Abdul Adams,RB,12,59,542,9.19,1,0.0,0.0,0.0,0.0
Abou Toure,RB,23,286,1647,5.76,10,0.0,0.0,0.0,0.0
Abram Smith,RB,14,257,1601,6.23,12,0.0,0.0,0.0,0.0
Aca'Cedric Ware,RB,12,125,825,6.6,6,0.0,0.0,0.0,0.0
Adam Choice,RB,15,77,548,7.12,7,0.0,0.0,0.0,0.0
Adam Cofield,RB,31,249,1376,5.53,18,0.0,0.0,0.0,0.0
Adam Eastwood,RB,11,125,514,4.11,9,0.0,0.0,0.0,0.0
Adam Kennedy,QB,13,153,524,3.42,4,0.0,0.0,0.0,0.0
Adam Muema,RB,13,256,1244,4.86,15,0.0,0.0,0.0,0.0
Adeolu Adeleke,RB,16,70,530,7.57,3,0.0,0.0,0.0,0.0
Adrian Feliz-Platt,RB,11,102,480,4.71,1,0.0,0.0,0.0,0.0
Adrian Killins,RB,38,356,2134,5.99,21,0.0,0.0,0.0,0.0
