Player,Position,Games Played,Pass Comp,Pass Att,Pass Comp Percentage,Pass Yds,Pass Yds Per Comp,Pass Yds Per Game,Pass TD,Int,Rush,Rush Yds,Rush TD,Rush Yds Per Attempt,Rush Yds Per Game
A.J. McCarron,QB,16,109,174,62.64,1173,10.76,73.31,6,3,22.0,68.0,1.0,3.09,6.18
Aaron Rodgers,QB,145,3249,4995,65.05,37394,11.51,257.89,304,59,416.0,2024.0,17.0,4.87,13.96
Alex Smith,QB,94,1960,3016,64.99,21370,10.9,227.34,118,46,368.0,1843.0,11.0,5.01,19.61
Alex Tanney,QB,2,11,15,73.33,100,9.09,50.0,1,0,0.0,0.0,0.0,0.0,0.0
Andrew Luck,QB,70,1661,2663,62.37,19297,11.62,275.67,148,65,270.0,1335.0,9.0,4.94,19.07
Andy Dalton,QB,134,2745,4352,63.07,31083,11.32,231.96,197,115,384.0,1193.0,17.0,3.11,8.9
Anthony Brown,QB,2,22,49,44.9,302,13.73,151.0,0,2,3.0,-5.0,0.0,-1.67,-2.5
Austin Davis,QB,13,236,378,62.43,2548,10.8,196.0,13,12,24.0,68.0,0.0,2.83,4.25
B.J. Daniels,QB,8,1,2,50.0,7,7.0,0.88,0,0,6.0,6.0,0.0,1.0,0.75
Bailey Zappe,QB,4,65,92,70.65,781,12.02,195.25,5,3,10.0,0.0,0.0,0.0,0.0
Baker Mayfield,QB,60,1185,1924,61.59,14125,11.92,235.42,92,56,158.0,571.0,5.0,3.61,9.52
Ben DiNucci,QB,3,23,43,53.49,219,9.52,73.0,0,0,6.0,22.0,0.0,3.67,7.33
Ben Roethlisberger,QB,122,3066,4681,65.5,34244,11.17,280.69,227,103,196.0,337.0,6.0,1.72,2.76
Blaine Gabbert,QB,42,492,842,58.43,5426,11.03,129.19,30,30,128.0,486.0,3.0,3.8,11.85
Blake Bortles,QB,78,1562,2634,59.3,17649,11.3,226.27,103,75,283.0,1766.0,8.0,6.24,22.64
Brandon Allen,QB,15,149,263,56.65,1611,10.81,107.4,10,6,33.0,64.0,0.0,1.94,4.27
Brandon Weeden,QB,19,262,448,58.48,3077,11.74,161.95,17,13,35.0,89.0,1.0,2.54,4.45
Brett Hundley,QB,18,199,337,59.05,1902,9.56,105.67,9,13,46.0,309.0,2.0,6.72,17.17
Brett Rypien,QB,8,80,130,61.54,778,9.72,97.25,4,8,11.0,2.0,0.0,0.18,0.29
Brian Hoyer,QB,61,845,1422,59.42,10052,11.9,164.79,51,32,92.0,95.0,1.0,1.03,1.58
Brock Osweiler,QB,44,695,1161,59.86,7406,10.66,168.32,37,31,84.0,279.0,4.0,3.32,6.34
