Player,Position,Games Played,Rush,Rush Yds,Rush TD,Rush Yds Per Attempt,Rush Yds Per Game,Targets,Receptions,Catch Percentage,Reception Yds,Reception Yds Per Attempt,Reception Yds Per Game,Reception TD
AJ Dillon,RB,45,419,1815,14,4.33,40.33,82.0,64.0,78.05,540.0,8.44,1.42,2.0
Aaron Jones,RB,86,1035,5284,43,5.11,61.44,321.0,242.0,75.39,1843.0,7.62,2.81,17.0
Aaron Ripkowski,RB,32,39,163,2,4.18,5.09,21.0,17.0,80.95,103.0,6.06,0.36,1.0
Adam Prentice,FB,18,7,14,0,2.0,0.78,6.0,6.0,100.0,25.0,4.17,0.33,0.0
Adrian Killins,RB,1,1,-12,0,-12.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adrian Peterson,RB,95,1476,6069,44,4.11,63.88,175.0,128.0,73.14,948.0,7.41,1.35,2.0
Ahmad Bradshaw,RB,19,162,696,4,4.3,36.63,69.0,55.0,79.71,406.0,7.38,2.89,9.0
Akeem Hunt,RB,30,45,228,0,5.07,7.6,21.0,13.0,61.9,99.0,7.62,0.43,0.0
Alec Ingold,FB,58,21,30,1,1.43,0.52,58.0,43.0,74.14,344.0,8.0,0.74,4.0
Alex Armah,FB,59,26,56,3,2.15,0.95,13.0,9.0,69.23,30.0,3.33,0.15,1.0
Alex Collins,RB,50,483,1997,18,4.13,39.94,80.0,59.0,73.75,467.0,7.92,1.18,1.0
Alex Green,RB,13,11,35,0,3.18,2.69,2.0,2.0,100.0,8.0,4.0,0.15,0.0
Alexander Mattison,RB,59,404,1670,11,4.13,28.31,84.0,70.0,83.33,526.0,7.51,1.19,3.0
Alfonso Smith,RB,22,25,73,1,2.92,3.32,17.0,13.0,76.47,79.0,6.08,0.59,0.0
Alfred Blue,RB,73,673,2407,8,3.58,32.97,86.0,69.0,80.23,470.0,6.81,0.95,2.0
Alfred Morris,RB,98,1094,4560,22,4.17,46.53,83.0,57.0,68.67,436.0,7.65,0.59,1.0
Alonzo Harris,RB,6,4,19,0,4.75,3.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alvin Kamara,RB,88,1135,5135,49,4.52,58.35,553.0,430.0,77.76,3753.0,8.73,4.89,22.0
Ameer Abdullah,RB,108,413,1594,6,3.86,14.76,197.0,144.0,73.1,1076.0,7.47,1.33,8.0
Andre Brown,RB,8,139,492,3,3.54,61.5,29.0,20.0,68.97,103.0,5.15,2.5,0.0
Andre Ellington,RB,65,418,1752,10,4.19,26.95,223.0,151.0,67.71,1368.0,9.06,2.32,3.0
Andre Williams,RB,41,332,1090,8,3.28,26.59,42.0,19.0,45.24,137.0,7.21,0.58,0.0
Andrew Beck,FB,13,2,0,0,0.0,0.0,11.0,5.0,45.45,69.0,13.8,0.38,0.0
Andy Janovich,FB,16,2,5,0,2.5,0.31,10.0,8.0,80.0,112.0,14.0,0.5,1.0
Andy Janovich,RB,61,15,50,4,3.33,0.82,27.0,19.0,70.37,143.0,7.53,0.31,0.0
Anthony Dixon,RB,48,154,532,5,3.45,11.08,19.0,17.0,89.47,123.0,7.24,0.35,0.0
Anthony McFarland Jr.,RB,14,42,146,0,3.48,10.43,12.0,9.0,75.0,76.0,8.44,0.64,0.0
Anthony Sherman,RB,109,27,70,1,2.59,0.64,71.0,53.0,74.65,441.0,8.32,0.42,4.0
Antone Smith,RB,33,39,347,4,8.9,10.52,27.0,21.0,77.78,309.0,14.71,0.75,3.0
Antonio Andrews,RB,30,145,535,3,3.69,17.83,31.0,23.0,74.19,185.0,8.04,1.28,0.0
Antonio Gibson,RB,45,577,2378,21,4.12,52.84,154.0,124.0,80.52,894.0,7.21,2.76,5.0
Antonio Williams,RB,1,12,63,2,5.25,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arian Foster,RB,29,466,2006,10,4.3,69.17,132.0,88.0,66.67,815.0,9.26,3.03,8.0
Armond Smith,RB,5,4,5,0,1.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Artavis Pierce,RB,5,6,34,1,5.67,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austin Ekeler,RB,89,811,3727,34,4.6,41.88,482.0,389.0,80.71,3448.0,8.86,4.37,29.0
