Rank,Pos,Player,ByeWeek,Team,Tier,Salary,YearsPro,FantasyPoints
1,RB,Christian McCaffrey,13,CAR,RB,38640000,5,246
2,RB,Jonathan Taylor,14,IND,RB,4120000,2,293
3,RB,Austin Ekeler,8,LAC,RB,11750000,5,249
4,RB,Dalvin Cook,7,MIN,RB,38700000,5,221
5,WR,Justin Jefferson,7,MIN,WR,2000000,2,207
6,WR,Cooper Kupp,7,LAR,WR,89850000,5,235
7,RB,Najee Harris,9,PIT,RB,6200000,1,214
8,RB,Derrick Henry,6,TEN,RB,25500000,6,269
9,RB,D'Andre Swift,6,DET,RB,3390000,2,190
10,TE,Travis Kelce,8,KC,TE,48750000,9,176
11,WR,Ja'Marr Chase,10,CIN,WR,11060000,1,209
12,RB,Joe Mixon,10,CIN,RB,30300000,5,225
13,WR,Stefon Diggs,7,BUF,WR,72600000,7,175
14,WR,Davante Adams,6,LV,WR,97870000,8,187
15,RB,Alvin Kamara,14,NO,RB,48920000,5,195
16,RB,Saquon Barkley,9,NYG,RB,17650000,4,187
17,RB,Aaron Jones,14,GB,RB,35000000,5,199
18,WR,CeeDee Lamb,9,DAL,WR,2000000,2,171
19,RB,Leonard Fournette,11,TB,RB,10900000,5,198
20,TE,Mark Andrews,10,BAL,TE,33920000,4,172
21,WR,Mike Evans,11,TB,WR,15620000,8,173
22,WR,Tyreek Hill,11,MIA,WR,99900000,6,170
23,WR,Keenan Allen,8,LAC,WR,59600000,9,149
24,RB,Javonte Williams,9,DEN,RB,5060000,1,192
25,WR,Michael Pittman Jr.,14,IND,WR,,,154
26,WR,Deebo Samuel,9,SF,WR,5850000,3,206
27,RB,Nick Chubb,9,CLE,RB,25180000,4,199
28,WR,A.J. Brown,7,PHI,WR,51460000,3,161
29,WR,Tee Higgins,10,CIN,WR,3400000,2,165
30,RB,James Conner,13,ARI,RB,7470000,5,199
31,TE,Kyle Pitts,14,ATL,TE,11630000,1,127
32,WR,DJ Moore,13,CAR,WR,,,152
33,RB,Ezekiel Elliott,9,DAL,RB,50700000,6,180
34,QB,Josh Allen,7,BUF,QB,222000000,4,401
35,WR,Diontae Johnson,9,PIT,WR,4860000,3,145
36,RB,Travis Etienne Jr.,11,JAC,RB,,,162
37,WR,Jaylen Waddle,11,MIA,WR,10020000,1,139
38,RB,Breece Hall,10,NYJ,RB,5030000,0,166
