Player,Position,Games Played,Solo Tackles,Asst Tackles,Total Tackles,Tackles Per Game,Total Sacks,Sacks Per Game,Forced Fumbles,Fumbles Recovered,Passes Defended,Int,Int Ret Yds,Yds Per Int,Int Ret TDs
A'Shawn Robinson,DT,10,22,20,42,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
A'Shawn Robinson,LDE,17,33,34,67,3.94,2.0,0.12,2.0,0.0,0.0,0.0,0.0,0.0,0
A'Shawn Robinson,LDT,45,88,44,132,2.93,3.5,0.08,2.0,1.0,13.0,1.0,2.0,2.0,1
A'Shawn Robinson,RDT,13,32,8,40,3.08,1.5,0.12,1.0,2.0,3.0,0.0,0.0,0.0,0
A.J. Bouye,LCB,21,73,9,82,3.9,0.0,0.0,1.0,1.0,16.0,3.0,120.0,40.0,1
A.J. Bouye,RCB,68,220,46,266,3.91,1.0,0.01,1.0,0.0,53.0,9.0,104.0,11.56,0
A.J. Hawk,LILB,32,128,79,207,6.47,5.5,0.17,1.0,1.0,7.0,1.0,7.0,7.0,0
A.J. Hawk,LLB,16,16,8,24,1.5,1.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0
A.J. Klein,LB,31,47,9,56,1.81,2.0,0.06,0.0,1.0,5.0,1.0,12.0,12.0,0
A.J. Klein,LLB,30,78,36,114,3.8,5.0,0.17,3.0,1.0,4.0,0.0,0.0,0.0,0
A.J. Klein,MLB,30,56,30,86,2.87,2.0,0.07,3.0,0.0,2.0,1.0,8.0,8.0,0
A.J. Klein,RLB,43,126,67,193,4.49,6.5,0.15,2.0,2.0,9.0,2.0,20.0,10.0,1
A.J. Moore,DB,11,21,14,35,3.18,1.0,0.09,1.0,0.0,1.0,0.0,0.0,0.0,0
AJ Parker,DB,13,39,11,50,3.85,0.0,0.0,1.0,0.0,7.0,1.0,0.0,0.0,0
AJ Terrell,CB,14,36,11,47,3.36,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0
AJ Terrell,LCB,30,113,42,155,5.17,1.0,0.03,4.0,0.0,23.0,4.0,42.0,10.5,0
Aaron Colvin,DB,26,63,15,78,3.0,1.0,0.04,0.0,3.0,3.0,0.0,0.0,0.0,0
Aaron Colvin,RCB,16,60,13,73,4.56,4.0,0.25,1.0,0.0,7.0,0.0,0.0,0.0,0
Aaron Colvin,RLB,16,38,7,45,2.81,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0
Aaron Donald,DT,27,54,40,94,3.48,18.5,0.69,5.0,2.0,3.0,0.0,0.0,0.0,0
Aaron Donald,LDT,65,156,92,248,3.82,40.5,0.62,8.0,1.0,11.0,0.0,0.0,0.0,0
Aaron Donald,RDE,30,61,28,89,2.97,23.5,0.78,7.0,2.0,3.0,0.0,0.0,0.0,0
Aaron Donald,RDT,16,41,18,59,3.69,20.5,1.28,4.0,2.0,1.0,0.0,0.0,0.0,0
Aaron Lynch,DE,16,17,6,23,1.44,6.0,0.38,0.0,0.0,4.0,0.0,0.0,0.0,0
Aaron Lynch,ROLB,14,30,8,38,2.71,6.5,0.46,0.0,0.0,3.0,0.0,0.0,0.0,0
Aaron Robinson,DB,9,16,10,26,2.89,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0
Aaron Williams,FS,15,51,25,76,5.07,0.0,0.0,0.0,0.0,5.0,1.0,26.0,26.0,0
Aaron Williams,SS,14,60,22,82,5.86,0.0,0.0,1.0,0.0,11.0,4.0,43.0,10.75,0
