Player,Position,Games Played,FG,FG Attempt,FG Percentage
Adam Vinatieri,K,106,186.0,215.0,86.51
Aldrick Rosas,K,59,72.0,91.0,79.12
Alex Henery,K,18,24.0,33.0,72.73
Andrew Franks,K,32,29.0,37.0,78.38
Austin Seibert,K,30,44.0,55.0,80.0
Billy Cundiff,K,29,43.0,55.0,78.18
Blair Walsh,K,73,119.0,149.0,79.87
Bradley Pinion,P,15,0.0,1.0,0.0
Brandon McManus,K,144,223.0,274.0,81.39
Brett Maher,K,54,94.0,116.0,81.03
Brian Johnson,K,7,10.0,10.0,100.0
Cade York,K,17,24.0,32.0,75.0
Cairo Santos,K,116,185.0,219.0,84.47
Caleb Shudak,K,1,3.0,4.0,75.0
Caleb Sturgis,K,68,120.0,150.0,80.0
Cameron Dicker,K,11,21.0,22.0,95.45
Chandler Catanzaro,K,77,119.0,142.0,83.8
Chase McLaughlin,K,47,67.0,85.0,78.82
Chris Blewitt,K,2,2.0,5.0,40.0
Chris Boswell,K,116,202.0,234.0,86.32
Chris Naggar,K,1,1.0,1.0,100.0
Cody Parkey,K,83,121.0,143.0,84.62
Connor Barth,K,43,67.0,83.0,80.72
Dan Bailey,K,122,188.0,222.0,84.68
Dan Carpenter,K,64,109.0,126.0,86.51
Daniel Carlson,K,78,143.0,162.0,88.27
David Akers,K,16,19.0,24.0,79.17
Dominik Eberle,K,2,3.0,4.0,75.0
Dustin Hopkins,K,109,190.0,224.0,84.82
Eddy Pineiro,K,38,64.0,71.0,90.14
Elliott Fry,K,3,5.0,6.0,83.33
Evan McPherson,K,32,52.0,62.0,83.87
Garrett Hartley,K,16,25.0,33.0,75.76
Giorgio Tavecchio,K,19,21.0,26.0,80.77
Graham Gano,K,142,245.0,279.0,87.81
Greg Joseph,K,48,76.0,91.0,83.52
Greg Zuerlein,K,152,271.0,327.0,82.87
Harrison Butker,K,90,164.0,186.0,88.17
Jake Elliott,K,79,108.0,130.0,83.08
Jake Elliott ,K,17,30.0,33.0,90.91
Jamie Gillan,P,16,0.0,1.0,0.0
Jason Myers,K,120,195.0,227.0,85.9
Jason Sanders,K,82,126.0,152.0,82.89
Jay Feely,K,20,33.0,40.0,82.5
Joey Slye,K,61,102.0,123.0,82.93
John Potter,K,3,3.0,4.0,75.0
Johnny Hekker,P,16,1.0,1.0,100.0
Jonathan Brown,K,1,1.0,2.0,50.0
Josh Brown,K,53,88.0,96.0,91.67
Josh Lambo,K,78,128.0,147.0,87.07
Josh Scobee,K,36,49.0,61.0,80.33
Justin Tucker,K,162,333.0,368.0,90.49
Ka'imi Fairbairn,K,94,148.0,173.0,85.55
Kaare Vedvik,P,1,0.0,1.0,0.0
Kai Forbath,K,72,116.0,136.0,85.29
Kyle Brindza,K,4,6.0,12.0,50.0
Lirim Hajrullahu,K,4,4.0,5.0,80.0
Mason Crosby,K,162,243.0,287.0,84.67
Matt Ammendola,K,15,18.0,26.0,69.23
Matt Bryant,K,94,164.0,188.0,87.23
Matt Gay,K,57,101.0,115.0,87.83
Matt Prater,K,153,256.0,300.0,85.33
Matthew McCrane,K,5,8.0,12.0,66.67
Matthew Wright,K,23,40.0,46.0,86.96
Michael Badgley,K,60,94.0,115.0,81.74
Mike Nugent,K,80,119.0,147.0,80.95
Mitch Wishnowsky,P,17,0.0,1.0,0.0
Nate Freese,K,3,3.0,7.0,42.86
Nick Folk,K,117,219.0,254.0,86.22
Nick Novak,K,68,118.0,138.0,85.51
Nick Rose,K,10,11.0,14.0,78.57
Nick Sciba,K,1,2.0,2.0,100.0
Patrick Murray,K,30,40.0,49.0,81.63
Phil Dawson,K,90,136.0,163.0,83.44
Randy Bullock,K,138,211.0,253.0,83.4
Rian Lindell,K,16,23.0,29.0,79.31
Riley Patterson,K,24,43.0,49.0,87.76
Rob Bironas,K,16,25.0,29.0,86.21
Robbie Gould,K,144,239.0,274.0,87.23
Roberto Aguayo,K,16,22.0,31.0,70.97
Rodrigo Blankenship,K,24,47.0,56.0,83.93
Ryan Santoso,P,4,4.0,5.0,80.0
Ryan Succop,K,152,223.0,267.0,83.52
Sam Ficken,K,28,35.0,48.0,72.92
Sam Sloman,K,8,10.0,13.0,76.92
Sebastian Janikowski,K,80,112.0,140.0,80.0
Sergio Castillo,K,6,8.0,13.0,61.54
Shaun Suisham,K,32,59.0,64.0,92.19
Shayne Graham,K,23,32.0,37.0,86.49
Stephen Gostkowski,K,115,222.0,252.0,88.1
Stephen Hauschka,K,113,199.0,231.0,86.15
Taylor Bertolet,K,2,3.0,3.0,100.0
Taylor Russolino,K,1,0.0,1.0,0.0
Travis Coons,K,19,35.0,40.0,87.5
Tristan Vizcaino,K,7,9.0,10.0,90.0
Ty Long,P,16,7.0,9.0,77.78
Tyler Bass,K,49,83.0,97.0,85.57
Wil Lutz,K,97,165.0,195.0,84.62
Younghoe Koo,K,61,122.0,137.0,89.05
Zach Hocker,K,8,10.0,14.0,71.43
Zane Gonzalez,K,63,91.0,113.0,80.53
