Player,Position,Games Played,Targets,Receptions,Catch Percentage,Reception Yds,Reception Yds Per Attempt,Reception Yds Per Game,Reception TD,Rush,Rush Yds,Rush TD,Rush Yds Per Attempt,Rush Yds Per Game
A.J. Brown,WR,60,440.0,273,62.05,4491,16.45,4.55,35,5.0,70.0,1.0,14.0,2.41
A.J. Derby,TE,25,65.0,40,61.54,452,11.3,1.6,3,0.0,0.0,0.0,0.0,0.0
A.J. Green,WR,127,990.0,565,57.07,8107,14.35,4.45,52,2.0,2.0,0.0,1.0,0.15
A.J. Jenkins,WR,25,32.0,17,53.12,223,13.12,0.68,0,4.0,4.0,0.0,1.0,0.16
Aaron Burbridge,WR,16,16.0,7,43.75,88,12.57,0.44,0,0.0,0.0,0.0,0.0,0.0
Aaron Dobson,WR,24,98.0,53,54.08,698,13.17,2.21,4,0.0,0.0,0.0,0.0,0.0
Ace Sanders,WR,27,94.0,57,60.64,539,9.46,2.11,1,2.0,4.0,0.0,2.0,0.27
Adam Humphries,WR,96,455.0,320,70.33,3314,10.36,3.33,13,9.0,36.0,0.0,4.0,0.61
Adam Shaheen,TE,42,57.0,38,66.67,382,10.05,0.9,4,0.0,0.0,0.0,0.0,0.0
Adam Thielen,WR,135,776.0,534,68.81,6682,12.51,3.96,55,21.0,172.0,1.0,8.19,1.45
Adam Trautman,TE,43,81.0,60,74.07,641,10.68,1.4,4,0.0,0.0,0.0,0.0,0.0
Alan Cross,TE,36,21.0,13,61.9,105,8.08,0.36,1,0.0,0.0,0.0,0.0,0.0
Albert Okwuegbunam,TE,26,73.0,54,73.97,546,10.11,2.08,4,0.0,0.0,0.0,0.0,0.0
Albert Wilson,WR,89,334.0,218,65.27,2499,11.46,2.45,12,27.0,160.0,1.0,5.93,2.08
Aldrick Robinson,WR,67,161.0,75,46.58,1185,15.8,1.12,11,3.0,-4.0,0.0,-1.33,-0.25
Alec Pierce,WR,16,78.0,41,52.56,593,14.46,2.56,2,0.0,0.0,0.0,0.0,0.0
Alex Ellis,TE,6,4.0,3,75.0,11,3.67,0.5,0,0.0,0.0,0.0,0.0,0.0
Alex Erickson,WR,97,152.0,96,63.16,1141,11.89,0.99,1,18.0,78.0,0.0,4.33,1.22
Alex Smith,TE,19,8.0,3,37.5,12,4.0,0.16,1,0.0,0.0,0.0,0.0,0.0
Alexander Hollins,WR,5,4.0,2,50.0,46,23.0,0.4,0,0.0,0.0,0.0,0.0,0.0
Allen Hurns,WR,82,416.0,241,57.93,3380,14.02,2.94,25,0.0,0.0,0.0,0.0,0.0
Allen Lazard,WR,57,259.0,169,65.25,2236,13.23,2.96,20,8.0,70.0,0.0,8.75,1.25
Allen Reisner,TE,5,9.0,5,55.56,40,8.0,1.0,0,0.0,0.0,0.0,0.0,0.0
Allen Robinson,WR,110,901.0,528,58.6,6748,12.78,4.8,43,3.0,10.0,0.0,3.33,0.22
Alshon Jeffery,WR,99,779.0,451,57.89,6419,14.23,4.56,43,23.0,140.0,1.0,6.09,3.33
Amara Darboh,WR,16,13.0,8,61.54,71,8.88,0.5,0,0.0,0.0,0.0,0.0,0.0
Amari Cooper,WR,125,950.0,595,62.63,8236,13.84,4.76,55,14.0,41.0,0.0,2.93,0.44
Amari Rodgers,WR,16,8.0,4,50.0,45,11.25,0.25,0,1.0,11.0,0.0,11.0,0.69
Amon-Ra St. Brown,WR,33,265.0,196,73.96,2073,10.58,5.94,11,16.0,156.0,1.0,9.75,4.73
Andre Baccellia,WR,8,10.0,7,70.0,45,6.43,0.88,0,0.0,0.0,0.0,0.0,0.0
Andre Caldwell,WR,46,66.0,31,46.97,319,10.29,0.67,5,2.0,10.0,0.0,5.0,0.33
Andre Holmes,WR,87,255.0,126,49.41,1733,13.75,1.45,15,0.0,0.0,0.0,0.0,0.0
Andre Johnson,WR,55,426.0,244,57.28,2931,12.01,4.44,14,0.0,0.0,0.0,0.0,0.0
Andre Patton,WR,13,17.0,6,35.29,56,9.33,0.46,0,0.0,0.0,0.0,0.0,0.0
Andre Roberts,WR,133,230.0,123,53.48,1427,11.6,0.92,6,9.0,64.0,0.0,7.11,0.84
Andrew Beck,TE,16,12.0,9,75.0,90,10.0,0.56,1,1.0,3.0,0.0,3.0,0.19
Andrew Hawkins,WR,47,227.0,135,59.47,1623,12.02,2.87,5,7.0,18.0,0.0,2.57,0.46
Andrew Quarless,TE,37,104.0,65,62.5,666,10.25,1.76,5,0.0,0.0,0.0,0.0,0.0
Andrew Turzilli,WR,3,2.0,2,100.0,25,12.5,0.67,0,0.0,0.0,0.0,0.0,0.0
Andy Isabella,WR,36,49.0,31,63.27,426,13.74,0.86,3,5.0,9.0,0.0,1.8,0.32
Andy Jones,WR,8,24.0,11,45.83,80,7.27,1.38,1,0.0,0.0,0.0,0.0,0.0
Anquan Boldin,WR,62,465.0,304,65.38,3614,11.89,4.9,24,3.0,15.0,0.0,5.0,0.47
Anthony Fasano,TE,72,140.0,94,67.14,905,9.63,1.31,12,0.0,0.0,0.0,0.0,0.0
Anthony Firkser,TE,11,13.0,9,69.23,100,11.11,0.82,0,0.0,0.0,0.0,0.0,0.0
Anthony Miller,WR,50,227.0,140,61.67,1589,11.35,2.8,12,9.0,37.0,0.0,4.11,0.79
Anthony Schwartz,WR,25,33.0,14,42.42,186,13.29,0.56,1,10.0,96.0,1.0,9.6,3.84
Antoine Wesley,WR,15,32.0,19,59.38,208,10.95,1.27,3,0.0,0.0,0.0,0.0,0.0
Antonio Brown,WR,108,1158.0,777,67.1,10229,13.16,7.19,76,21.0,63.0,0.0,3.0,0.8
Antonio Callaway,WR,25,98.0,53,54.08,695,13.11,2.12,5,2.0,7.0,0.0,3.5,0.44
Antonio Gates,TE,89,487.0,313,64.27,3520,11.25,3.52,33,0.0,0.0,0.0,0.0,0.0
Antony Auclair,TE,48,18.0,15,83.33,131,8.73,0.31,1,0.0,0.0,0.0,0.0,0.0
ArDarius Stewart,WR,15,13.0,6,46.15,82,13.67,0.4,0,7.0,27.0,0.0,3.86,1.8
Armani Rogers,TE,11,6.0,5,83.33,64,12.8,0.45,0,2.0,26.0,0.0,13.0,2.36
Arrelious Benn,WR,24,12.0,6,50.0,128,21.33,0.25,1,0.0,0.0,0.0,0.0,0.0
Ashton Dulin,WR,55,52.0,33,63.46,450,13.64,0.6,3,7.0,51.0,0.0,7.29,1.21
Auden Tate,WR,35,118.0,61,51.69,799,13.1,1.74,2,0.0,0.0,0.0,0.0,0.0
Austin Carr,WR,26,22.0,13,59.09,133,10.23,0.5,3,0.0,0.0,0.0,0.0,0.0
Austin Collie,WR,7,11.0,6,54.55,63,10.5,0.86,0,0.0,0.0,0.0,0.0,0.0
Austin Hooper,TE,105,468.0,339,72.44,3468,10.23,3.23,25,0.0,0.0,0.0,0.0,0.0
Austin Mack,WR,11,11.0,7,63.64,91,13.0,0.64,0,0.0,0.0,0.0,0.0,0.0
Austin Pettis,WR,25,80.0,50,62.5,517,10.34,2.0,5,0.0,0.0,0.0,0.0,0.0
Austin Seferian-Jenkins,TE,43,190.0,116,61.05,1160,10.0,2.7,11,0.0,0.0,0.0,0.0,0.0
Austin Trammell,WR,6,4.0,2,50.0,13,6.5,0.33,0,0.0,0.0,0.0,0.0,0.0
Austin Traylor,TE,7,13.0,8,61.54,100,12.5,1.14,0,0.0,0.0,0.0,0.0,0.0
Bear Pascoe,TE,32,22.0,14,63.64,84,6.0,0.44,1,1.0,2.0,0.0,2.0,0.12
Ben Braunecker,TE,39,22.0,13,59.09,142,10.92,0.33,1,0.0,0.0,0.0,0.0,0.0
Ben Ellefson,TE,11,7.0,4,57.14,36,9.0,0.36,0,0.0,0.0,0.0,0.0,0.0
Ben Koyack,TE,41,34.0,25,73.53,208,8.32,0.61,1,0.0,0.0,0.0,0.0,0.0
Ben Skowronek,WR,28,81.0,50,61.73,509,10.18,1.79,0,1.0,17.0,1.0,17.0,1.21
Ben Watson,TE,89,320.0,226,70.62,2282,10.1,2.54,16,0.0,0.0,0.0,0.0,0.0
Bennie Fowler,WR,68,174.0,97,55.75,1101,11.35,1.43,6,1.0,20.0,0.0,20.0,2.5
Bernard Reedy,WR,11,2.0,2,100.0,21,10.5,0.18,0,3.0,17.0,0.0,5.67,1.55
Billy Bajema,TE,6,2.0,2,100.0,18,9.0,0.33,0,0.0,0.0,0.0,0.0,0.0
Blake Bell,TE,100,94.0,60,63.83,641,10.68,0.6,1,5.0,12.0,0.0,2.4,0.38
